地区,北京,天津,河北,山西,内蒙古,辽宁,吉林,黑龙江,上海,江苏,浙江,安徽,福建,江西,山东,河南,湖北,湖南,广东,广西,海南,重庆,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆
2011年,104,200,730,175,183,1117,267,150,387,2741,2252,790,687,330,2223,1099,520,822,1463,264,4,311,712,112,128,0,117,40,10,45,63
2012年,104,224,794,215,169,1165,268,175,371,2832,2395,907,772,369,2292,1084,602,857,1432,279,4,322,686,122,145,1,129,53,19,54,74
2013年,107,243,902,233,186,1151,268,212,393,3058,2621,1180,818,421,2599,1072,768,919,1588,297,4,354,711,163,166,1,144,67,24,68,87
2014年,114,250,960,234,185,1031,263,208,400,3047,2755,1281,849,461,2636,1066,858,948,1597,293,4,385,736,185,177,2,171,71,26,76,96
2015年,109,257,989,225,181,766,280,195,384,3035,2805,1361,872,504,2697,1066,883,1009,1658,299,4,411,752,243,178,2,186,75,26,80,106
2016年,104,245,962,201,174,436,299,175,353,3012,2750,1401,888,563,2587,1082,885,1065,1722,301,4,424,778,300,196,3,215,75,26,77,114
2017年,100,182,1164,221,99,313,305,166,354,2850,2800,1318,899,579,2532,1010,819,1151,1991,349,5,422,789,334,204,3,248,68,25,84,118
2018年,102,183,1176,222,102,313,309,167,355,2874,2874,1355,908,630,2551,1015,905,1230,2006,378,5,432,812,358,215,3,266,69,27,86,123
2019年,104,236,1007,283,117,394,144,174,439,3133,3679,1116,1329,850,1754,1197,980,1299,3096,401,8,483,927,312,234,4,333,66,23,81,149
2020年,103,278,1118,353,128,464,183,230,450,3713,4003,1291,1470,1109,2099,1570,1123,1565,3730,520,11,544,1098,315,292,5,463,84,23,89,205
